SampleID,Type,Location ,Treatment ,Location_Treatment,Soil_Horizon,Treatment_Location_Horizon,Treatment_Horizon,Sample_within_site,Season
DNA_2_57,Soil,Site4,Control,Control_Site4,Upper B Horizon,Control_Site4_Upper B Horizon,Control Upper B Horizon,Sample1,Summer
DNA_2_58,Soil,Site4,Control,Control_Site4,Upper Forest Floor,Control_Site4_Upper Forest Floor,Control Upper Forest Floor,Sample2,Summer
DNA_2_59,Soil,Site4,Control,Control_Site4,Lower Forest Floor ,Control_Site4_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Summer
DNA_2_60,Soil,Site4,Control,Control_Site4,Upper B Horizon,Control_Site4_Upper B Horizon,Control Upper B Horizon,Sample2,Summer
DNA_2_61,Soil,Site4,Control,Control_Site4,Upper Forest Floor,Control_Site4_Upper Forest Floor,Control Upper Forest Floor,Sample3,Summer
DNA_2_62,Soil,Site4,Control,Control_Site4,Lower Forest Floor ,Control_Site4_Lower Forest Floor,Control Lower Forest Floor ,Sample3,Summer
DNA_2_63,Soil,Site4,Control,Control_Site4,Upper B Horizon,Control_Site4_Upper B Horizon,Control Upper B Horizon,Sample3,Summer
DNA_2_64,Soil,Site5,Control,Control_Site5,Upper Forest Floor,Control_Site5_Upper Forest Floor,Control Upper Forest Floor,Sample1,Summer
DNA_2_65,Soil,Site5,Control,Control_Site5,Lower Forest Floor ,Control_Site5_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Summer
DNA_2_66,Soil,Site5,Control,Control_Site5,Upper B Horizon,Control_Site5_Upper B Horizon,Control Upper B Horizon,Sample1,Summer
DNA_2_67,Soil,Site5,Control,Control_Site5,Upper Forest Floor,Control_Site5_Upper Forest Floor,Control Upper Forest Floor,Sample2,Summer
DNA_2_68,Soil,Site5,Control,Control_Site5,Lower Forest Floor ,Control_Site5_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Summer
DNA_2_69,Soil,Site5,Control,Control_Site5,Upper B Horizon,Control_Site5_Upper B Horizon,Control Upper B Horizon,Sample2,Summer
DNA_2_70,Soil,Site5,Control,Control_Site5,Upper Forest Floor,Control_Site5_Upper Forest Floor,Control Upper Forest Floor,Sample3,Summer
DNA_2_71,Soil,Site5,Control,Control_Site5,Lower Forest Floor ,Control_Site5_Lower Forest Floor,Control Lower Forest Floor ,Sample3,Summer
DNA_2_72,Soil,Site5,Control,Control_Site5,Upper B Horizon,Control_Site5_Upper B Horizon,Control Upper B Horizon,Sample3,Summer
DNA_2_73,Soil,Site1,Control,Control_Site1,Upper Forest Floor,Control_Site1_Upper Forest Floor,Control Upper Forest Floor,Sample3,Summer
DNA_2_74,Soil,Site1,Control,Control_Site1,Lower Forest Floor ,Control_Site1_Lower Forest Floor,Control Lower Forest Floor ,Sample3,Summer
DNA_2_75,Soil,Site1,Control,Control_Site1,Upper B Horizon,Control_Site1_Upper B Horizon,Control Upper B Horizon,Sample3,Summer
DNA_2_76,Soil,Site1,Treatment ,Treatment_Site1,Upper Forest Floor,Treatment_Site1_Upper Forest Floor,Treatment  Upper Forest Floor,Sample1,Summer
DNA_2_77,Soil,Site1,Treatment ,Treatment_Site1,Lower Forest Floor ,Treatment_Site1_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample1,Summer
DNA_2_78,Soil,Site1,Treatment ,Treatment_Site1,Upper B Horizon,Treatment_Site1_Upper B Horizon,Treatment  Upper B Horizon,Sample1,Summer
DNA_2_79,Soil,Site2,Treatment ,Treatment_Site2,Upper Forest Floor,Treatment_Site2_Upper Forest Floor,Treatment  Upper Forest Floor,Sample3,Summer
DNA_2_80,Soil,Site2,Treatment ,Treatment_Site2,Lower Forest Floor ,Treatment_Site2_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample3,Summer
DNA_2_81,Soil,Site2,Treatment ,Treatment_Site2,Upper B Horizon,Treatment_Site2_Upper B Horizon,Treatment  Upper B Horizon,Sample3,Summer
DNA_2_82,Soil,Site3,Treatment ,Treatment_Site3,Upper Forest Floor,Treatment_Site3_Upper Forest Floor,Treatment  Upper Forest Floor,Sample3,Summer
DNA_2_83,Soil,Site3,Treatment ,Treatment_Site3,Lower Forest Floor ,Treatment_Site3_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample3,Summer
DNA_2_84,Soil,Site3,Treatment ,Treatment_Site3,Upper B Horizon,Treatment_Site3_Upper B Horizon,Treatment  Upper B Horizon,Sample3,Summer
DNA_2_85,Soil,Site4,Treatment ,Treatment_Site4,Upper Forest Floor,Treatment_Site4_Upper Forest Floor,Treatment  Upper Forest Floor,Sample3,Summer
DNA_2_86,Soil,Site4,Treatment ,Treatment_Site4,Lower Forest Floor ,Treatment_Site4_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample3,Summer
DNA_2_87,Soil,Site4,Treatment ,Treatment_Site4,Upper B Horizon,Treatment_Site4_Upper B Horizon,Treatment  Upper B Horizon,Sample3,Summer
DNA_2_88,Soil,Site5,Treatment ,Treatment_Site5,Upper Forest Floor,Treatment_Site5_Upper Forest Floor,Treatment  Upper Forest Floor,Sample3,Summer
DNA_2_89,Soil,Site5,Treatment ,Treatment_Site5,Lower Forest Floor ,Treatment_Site5_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample3,Summer
DNA_2_90,Soil,Site5,Treatment ,Treatment_Site5,Upper B Horizon,Treatment_Site5_Upper B Horizon,Treatment  Upper B Horizon,Sample3,Summer
