"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"155"," g__Cytophaga",Inf,TRUE,TRUE,TRUE,TRUE
"156"," g__NS9_marine_group",Inf,TRUE,TRUE,TRUE,TRUE
"157"," g__Mucilaginibacter",97,FALSE,FALSE,FALSE,FALSE
"158"," f__Sphingobacteriaceae",Inf,TRUE,TRUE,TRUE,TRUE
"159"," g__NS11-12_marine_group",Inf,TRUE,TRUE,TRUE,TRUE
"160"," g__FFCH9454",Inf,TRUE,TRUE,TRUE,TRUE
"161"," g__AKYH767",136,FALSE,TRUE,TRUE,TRUE
"162"," g__Paenibacillus",Inf,TRUE,TRUE,TRUE,TRUE
"163"," g__C0119",Inf,TRUE,TRUE,TRUE,TRUE
"164"," g__Saccharimonadales",82,FALSE,FALSE,FALSE,FALSE
"165"," p__Patescibacteria",31,FALSE,FALSE,FALSE,FALSE
"166"," g__Berkelbacteria",Inf,TRUE,TRUE,TRUE,TRUE
"167"," g__Lineage_IIb",Inf,TRUE,TRUE,TRUE,TRUE
"168"," g__Lineage_IIa",119,FALSE,FALSE,TRUE,TRUE
"169"," g__Lineage_IV",44,FALSE,FALSE,FALSE,FALSE
"170"," g__possible_genus_04",Inf,TRUE,TRUE,TRUE,TRUE
"171"," f__Fibrobacteraceae",134,FALSE,TRUE,TRUE,TRUE
"172"," g__AD3",62,FALSE,FALSE,FALSE,FALSE
"173"," p__Chloroflexi",Inf,TRUE,TRUE,TRUE,TRUE
"174"," g__S085",Inf,TRUE,TRUE,TRUE,TRUE
"175"," f__Anaerolineaceae",Inf,TRUE,TRUE,TRUE,TRUE
"176"," g__RBG-13-54-9",Inf,TRUE,TRUE,TRUE,TRUE
"177"," g__A4b",Inf,TRUE,TRUE,TRUE,TRUE
"178"," g__SBR1031",Inf,TRUE,TRUE,TRUE,TRUE
"179"," f__Caldilineaceae",Inf,TRUE,TRUE,TRUE,TRUE
"180"," f__Roseiflexaceae",Inf,TRUE,TRUE,TRUE,TRUE
"181"," g__AKIW781",Inf,TRUE,TRUE,TRUE,TRUE
"182"," g__OLB14",Inf,TRUE,TRUE,TRUE,TRUE
"183"," g__JG30-KF-CM66",Inf,TRUE,TRUE,TRUE,TRUE
"184"," g__TK10",Inf,TRUE,TRUE,TRUE,TRUE
"185"," g__WPS-2",65,FALSE,FALSE,FALSE,FALSE
"186"," g__Abditibacterium",128,FALSE,FALSE,TRUE,TRUE
"187"," g__Fimbriimonas",Inf,TRUE,TRUE,TRUE,TRUE
"188"," f__Fimbriimonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"189"," g__Fimbriimonadaceae",57,FALSE,FALSE,FALSE,FALSE
"190"," g__Armatimonadales",53,FALSE,FALSE,FALSE,FALSE
"191"," o__Armatimonadales",Inf,TRUE,TRUE,TRUE,TRUE
"192"," p__Armatimonadota",Inf,TRUE,TRUE,TRUE,TRUE
"193"," g__Chthonomonas",51,FALSE,FALSE,FALSE,FALSE
"194"," g__Chthonomonadales",Inf,TRUE,TRUE,TRUE,TRUE
"195"," g__GAL15",Inf,TRUE,TRUE,TRUE,TRUE
"196"," g__FCPU453",Inf,TRUE,TRUE,TRUE,TRUE
"197"," g__S-BQ2-57_soil_group",35,FALSE,FALSE,FALSE,FALSE
"198"," f__Methylacidiphilaceae",66,FALSE,FALSE,FALSE,FALSE
"199"," g__DEV008",Inf,TRUE,TRUE,TRUE,TRUE
"200"," g__SH3-11",Inf,TRUE,TRUE,TRUE,TRUE
"201"," g__Pedosphaera",88,FALSE,FALSE,FALSE,FALSE
"202"," g__Ellin517",Inf,TRUE,TRUE,TRUE,TRUE
"203"," g__Pedosphaeraceae",96,FALSE,FALSE,FALSE,FALSE
"204"," f__Pedosphaeraceae",70,FALSE,FALSE,FALSE,FALSE
"205"," g__Lacunisphaera",146,FALSE,TRUE,TRUE,TRUE
"206"," f__Opitutaceae",76,FALSE,FALSE,FALSE,FALSE
"207"," g__Opitutus",134,FALSE,TRUE,TRUE,TRUE
"208"," g__Cerasicoccus",Inf,TRUE,TRUE,TRUE,TRUE
"209"," f__Chthoniobacteraceae",79,FALSE,FALSE,FALSE,FALSE
"210"," f__Verrucomicrobiaceae",97,FALSE,FALSE,FALSE,FALSE
"211"," g__Chthoniobacter",87,FALSE,FALSE,FALSE,FALSE
"212"," o__Chthoniobacterales",98,FALSE,FALSE,FALSE,TRUE
"213"," g__Candidatus_Xiphinematobacter",57,FALSE,FALSE,FALSE,FALSE
"214"," g__Roseimicrobium",Inf,TRUE,TRUE,TRUE,TRUE
"215"," g__Prosthecobacter",Inf,TRUE,TRUE,TRUE,TRUE
"216"," g__Omnitrophales",35,FALSE,FALSE,FALSE,FALSE
"217"," o__Omnitrophales",27,FALSE,FALSE,FALSE,FALSE
"218"," g__BD7-11",70,FALSE,FALSE,FALSE,FALSE
"219"," g__Pla4_lineage",Inf,TRUE,TRUE,TRUE,TRUE
"220"," g__OM190",Inf,TRUE,TRUE,TRUE,TRUE
"221"," g__vadinHA49",53,FALSE,FALSE,FALSE,FALSE
"222"," g__CPla-3_termite_group",Inf,TRUE,TRUE,TRUE,TRUE
"223"," g__WD2101_soil_group",70,FALSE,FALSE,FALSE,FALSE
"224"," g__Tepidisphaeraceae",Inf,TRUE,TRUE,TRUE,TRUE
"225"," g__Phycisphaera",Inf,TRUE,TRUE,TRUE,TRUE
"226"," f__Phycisphaeraceae",67,FALSE,FALSE,FALSE,FALSE
"227"," g__SM1A02",Inf,TRUE,TRUE,TRUE,TRUE
"228"," f__Pirellulaceae",98,FALSE,FALSE,FALSE,TRUE
"229"," f__Gemmataceae",61,FALSE,FALSE,FALSE,FALSE
"230"," g__Gemmata",47,FALSE,FALSE,FALSE,FALSE
"231"," g__Fimbriiglobus",117,FALSE,FALSE,TRUE,TRUE
"232"," g__Zavarzinella",Inf,TRUE,TRUE,TRUE,TRUE
"233"," g__Telmatocola",Inf,TRUE,TRUE,TRUE,TRUE
"234"," g__Pirellula",Inf,TRUE,TRUE,TRUE,TRUE
"235"," g__Pir4_lineage",Inf,TRUE,TRUE,TRUE,TRUE
"236"," g__Aquisphaera",67,FALSE,FALSE,FALSE,FALSE
"237"," g__Singulisphaera",Inf,TRUE,TRUE,TRUE,TRUE
