"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"200"," g__Sporocytophaga",1,FALSE,FALSE,FALSE,FALSE
"201"," c__Bacteroidia",127,FALSE,TRUE,TRUE,TRUE
"202"," f__Spirosomaceae",Inf,TRUE,TRUE,TRUE,TRUE
"203"," g__WD260",7,FALSE,FALSE,FALSE,FALSE
"204"," g__Steroidobacter",6,FALSE,FALSE,FALSE,FALSE
"205"," c__Gammaproteobacteria",0,FALSE,FALSE,FALSE,FALSE
"206"," g__Acidibacter",6,FALSE,FALSE,FALSE,FALSE
"207"," g__JG36-TzT-191",28,FALSE,FALSE,FALSE,FALSE
"208"," g__R7C24",Inf,TRUE,TRUE,TRUE,TRUE
"209"," f__Burkholderiaceae",Inf,TRUE,TRUE,TRUE,TRUE
"210"," g__Rhodanobacter",50,FALSE,FALSE,FALSE,FALSE
"211"," g__Dyella",0,FALSE,FALSE,FALSE,FALSE
"212"," f__Xanthomonadaceae",0,FALSE,FALSE,FALSE,FALSE
"213"," f__Rhodanobacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"214"," g__Tahibacter",Inf,TRUE,TRUE,TRUE,TRUE
"215"," g__Arenimonas",Inf,TRUE,TRUE,TRUE,TRUE
"216"," f__Solimonadaceae",0,FALSE,FALSE,FALSE,FALSE
"217"," g__Alkanibacter",Inf,TRUE,TRUE,TRUE,TRUE
"218"," g__Nevskia",0,FALSE,FALSE,FALSE,FALSE
"219"," g__Candidatus_Endonucleariobacter",64,FALSE,FALSE,FALSE,FALSE
"220"," g__Coxiella",Inf,TRUE,TRUE,TRUE,TRUE
"221"," g__Candidatus_Berkiella",15,FALSE,FALSE,FALSE,FALSE
"222"," g__Legionella",1,FALSE,FALSE,FALSE,FALSE
"223"," g__Candidatus_Ovatusbacter",0,FALSE,FALSE,FALSE,FALSE
"224"," g__Unknown_Family",16,FALSE,FALSE,FALSE,FALSE
"225"," g__Escherichia-Shigella",Inf,TRUE,TRUE,TRUE,TRUE
