"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Candidatus_Endoecteinascidia",-2.63940417184044,-2.79867801565713,-2.44866266280252,0.332517046570439,4.76014773577084,0.0634007579763874,0.466493169697381,0.558569642822542,0.794492940888023,0.546911217673939,0.760753086380105
" g__Vampirovibrionales",-2.67009615117016,-2.81679535756804,-2.49129000222864,0.41710407680157,4.53107096280867,0.079348277717547,0.46223958467473,0.4702740004691,0.744935329653487,0.485952707221247,0.722880139574913
" g__Obscuribacteraceae",4.2442803998964,3.72709229016495,4.63838834317726,0.895498757873692,2.63898833971085,0.238314041287434,0.351562505749753,0.474695869367681,0.77189347374134,0.0962949603900223,0.391220506519619
" g__Candidatus_Obscuribacter",-2.60236996617725,-2.88596306543074,-2.25473222625885,0.728765280859114,4.53917348396196,0.136089345789593,0.438151043885196,0.431305211885939,0.700633133113626,0.433874545730595,0.680452565634972
" g__Sphingomonas",-2.75852326435402,-2.99301232872696,-2.46693959018311,0.64125018110526,4.52019154883535,0.120025523007707,0.43461288458481,0.472907749925722,0.740017538653466,0.453894361608429,0.700622208749465
" g__Plot4-2H12",-1.37375715023523,-1.29477150738918,-1.45679290377741,-0.144952524782816,4.73058757040353,-0.0282299991104305,0.487312947747763,0.598213925354237,0.833748100053693,0.635016381938836,0.838050571768013
" o__Defluviicoccales",1.61515557040444,0.523957668494212,2.37709122211407,2.00705003888781,5.00619629935987,0.371698816922717,0.322916673818565,0.0540820006440653,0.300033748239213,0.0333080330698495,0.225405709693913
" g__AT-s3-44",2.95906436280955,4.04435988512694,0.266560293699742,-3.10837808602813,4.5645233417275,-0.63303747818367,0.187500018113463,0.00430825784266375,0.0934445661490811,0.000204007467744452,0.0159904457043179
" o__Rhodospirillales",1.32329950847814,1.6830706790675,1.08595450472089,-0.342264663991365,5.57188282840975,-0.0503835318792229,0.457682293172166,0.674749327720177,0.873879650139429,0.635837523928983,0.844209000810572
" g__Inquilinus",3.06048137838769,2.74430601826417,3.42917695407631,0.878309377707503,4.6860505279855,0.177523795895317,0.370442713238817,0.271034455463578,0.613767261062982,0.129567946654698,0.436281780569427
" f__Elsteraceae",3.24569578462674,3.77124689744886,2.52170327015582,-0.910073922665808,3.1730054948748,-0.23717944362129,0.348731300603655,0.0795245443787405,0.381937782588594,0.0875881791725579,0.364744099468756
" g__Aliidongia",0.51576864651429,-0.963225470773926,3.16349348097403,2.47619181972024,6.33965880209782,0.39006442537712,0.324007814503145,0.110904545785096,0.389067284369281,0.0515242946387597,0.262728613313382
" g__URHD0088",6.0679605015686,5.72397703665786,6.3972514630697,0.462248427442562,1.46984109144647,0.300219201847821,0.363044897871016,0.138113702291443,0.508444201004789,0.105958558385165,0.407218782716556
" o__Elsterales",9.59432332167054,9.61034848179369,9.54331457848955,0.0985826077064926,0.896505311383494,0.100959559486254,0.454427084956511,0.59230548952205,0.846528676386792,0.641144510748497,0.852645979174531
" g__Reyranella",5.06366794364488,4.89394037478196,5.38537527961032,0.305047855656876,2.25854824740743,0.110441809313307,0.445022773596124,0.676684336606534,0.8839644651683,0.447467994976275,0.751120741221366
" f__Rhodospirillaceae",1.17288727578257,1.78656850859493,0.234544178341764,-1.11886920122002,4.33731748680645,-0.23614501201342,0.348731300603655,0.306186511623673,0.618326625170349,0.111555477467248,0.392756978804026
" f__Magnetospirillaceae",-1.53925758011847,-1.89289498125068,-1.20642970980768,0.854845083392346,5.42714320413616,0.143150282749489,0.438802085527796,0.480525842272602,0.750576279219978,0.497474329486348,0.740319814784428
" g__Telmatospirillum",-2.65663014962616,-2.69306567487921,-2.61817187052273,-0.0950529610254538,4.61687117361419,-0.0182203513547914,0.491216656132963,0.500604752263967,0.768342147268107,0.538305792860434,0.768617484277513
" o__Zavarziniales",-2.49240132248333,-2.83178394945144,-2.14750200635171,0.572312370643123,4.87347785477128,0.0961389844188369,0.446974627786363,0.525200742663278,0.77005680660215,0.470516405975503,0.711199476782655
" g__Acidocella",3.76474530779072,3.974338470515,3.41944586840632,-0.708212503351898,5.04285971384256,-0.139687227895017,0.416666669694204,0.219610235730531,0.588946279598406,0.354978256759992,0.691800690862694
" g__Acidicaldus",1.6105161763716,1.39916550694238,1.93527223383055,0.724776646402929,4.45888886285766,0.14314194035159,0.402994795227026,0.479675795917513,0.75876172432253,0.292130918471979,0.619248173569556
