,Upper Forest Floor,Lower Forest Floor,Upper B Horizon
 g__KD3-93,TRUE,TRUE,TRUE
 g__KD4-96,FALSE,FALSE,TRUE
 g__KF-JG30-B3,FALSE,FALSE,FALSE
 g__KF-JG30-C25,FALSE,FALSE,FALSE
 g__Ktedonobacter,FALSE,FALSE,TRUE
 g__Labrys,FALSE,FALSE,FALSE
 g__Lacunisphaera,FALSE,TRUE,FALSE
 g__Legionella,FALSE,FALSE,FALSE
 g__Lineage_IIa,FALSE,FALSE,FALSE
 g__Lineage_IIb,TRUE,TRUE,FALSE
 g__Lineage_IV,FALSE,FALSE,FALSE
 g__LiUU-11-161,TRUE,FALSE,FALSE
 g__Lysobacter,TRUE,FALSE,FALSE
 g__Massilia,TRUE,FALSE,FALSE
 g__MBNT15,FALSE,FALSE,TRUE
 g__Mesorhizobium,TRUE,FALSE,FALSE
 g__Methylovirgula,FALSE,TRUE,FALSE
 g__Micropepsaceae,FALSE,FALSE,FALSE
 g__mle1-27,TRUE,FALSE,FALSE
 g__mle1-7,FALSE,FALSE,FALSE
 g__MND1,TRUE,TRUE,TRUE
 g__Mucilaginibacter,FALSE,FALSE,FALSE
 g__Mycobacterium,FALSE,FALSE,FALSE
 g__Nannocystis,TRUE,FALSE,FALSE
 g__NB1-j,FALSE,FALSE,FALSE
 g__Nevskia,FALSE,FALSE,TRUE
 g__Nitrosotaleaceae,TRUE,FALSE,FALSE
 g__Nitrospira,FALSE,FALSE,FALSE
 g__Nocardioides,TRUE,FALSE,FALSE
 g__Novosphingobium,TRUE,FALSE,FALSE
 g__NS11-12_marine_group,TRUE,FALSE,FALSE
 g__NS9_marine_group,TRUE,FALSE,FALSE
 g__Obscuribacteraceae,FALSE,FALSE,FALSE
 g__Occallatibacter,FALSE,FALSE,FALSE
 g__Ohtaekwangia,TRUE,FALSE,FALSE
 g__OLB12,TRUE,TRUE,FALSE
 g__OLB14,TRUE,FALSE,FALSE
 g__Oligoflexus,TRUE,FALSE,FALSE
 g__OM190,TRUE,TRUE,TRUE
 g__OM27_clade,TRUE,FALSE,FALSE
 g__Omnitrophales,FALSE,FALSE,FALSE
 g__Opitutus,FALSE,TRUE,FALSE
 g__P2-11E,FALSE,FALSE,FALSE
 g__P3OB-42,FALSE,TRUE,FALSE
 g__P3OB-51,FALSE,FALSE,TRUE
 g__Paenibacillus,TRUE,FALSE,FALSE
 g__Pajaroellobacter,FALSE,FALSE,FALSE
 g__Paludibaculum,TRUE,TRUE,FALSE
 g__Pandoraea,FALSE,FALSE,FALSE
 g__PB19,TRUE,FALSE,FALSE
 g__Pedomicrobium,TRUE,FALSE,FALSE
 g__Pedosphaera,FALSE,FALSE,FALSE
 g__Pedosphaeraceae,FALSE,FALSE,FALSE
 g__Phaeodactylibacter,TRUE,FALSE,FALSE
 g__Phaselicystis,TRUE,FALSE,TRUE
 g__Phenylobacterium,FALSE,FALSE,FALSE
 g__Phreatobacter,TRUE,FALSE,FALSE
 g__Phycisphaera,TRUE,FALSE,FALSE
 g__Pir4_lineage,TRUE,FALSE,TRUE
 g__Pirellula,TRUE,FALSE,FALSE
 g__Pla4_lineage,TRUE,FALSE,FALSE
 g__Planctopirus,TRUE,FALSE,FALSE
 g__Plot4-2H12,TRUE,FALSE,FALSE
 g__PLTA13,TRUE,FALSE,TRUE
 g__Polaromonas,TRUE,FALSE,FALSE
 g__Polycyclovorans,FALSE,FALSE,FALSE
 g__possible_genus_04,TRUE,TRUE,FALSE
 g__Prosthecobacter,TRUE,FALSE,FALSE
 g__Pseudoflavitalea,TRUE,FALSE,FALSE
 g__Pseudolabrys,TRUE,FALSE,FALSE
 g__Pseudomonas,FALSE,FALSE,FALSE
 g__Pseudorhodobacter,TRUE,TRUE,FALSE
 g__Pseudoxanthomonas,TRUE,FALSE,FALSE
 g__Puia,FALSE,FALSE,FALSE
 g__R7C24,TRUE,TRUE,FALSE
 g__RB41,TRUE,FALSE,FALSE
 g__RBG-13-54-9,TRUE,FALSE,FALSE
 g__RCP2-54,FALSE,FALSE,FALSE
 g__Reyranella,FALSE,FALSE,FALSE
 g__Rhodanobacter,FALSE,FALSE,FALSE
 g__Rhodoferax,TRUE,TRUE,FALSE
 g__Rhodomicrobium,FALSE,FALSE,FALSE
 g__Rhodopila,TRUE,FALSE,FALSE
 g__Rhodoplanes,TRUE,FALSE,FALSE
 g__Rhodovastum,FALSE,TRUE,FALSE
 g__Rickettsia,TRUE,FALSE,FALSE
 g__Rickettsiella,FALSE,FALSE,FALSE
 g__Rokubacteriales,FALSE,FALSE,FALSE
 g__Roseiarcus,FALSE,FALSE,FALSE
 g__Roseimicrobium,TRUE,FALSE,FALSE
 g__Roseisolibacter,FALSE,FALSE,FALSE
 g__Roseococcus,TRUE,FALSE,FALSE
