"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" o__Planctomycetales",4.40884616297568,0.387192508865515,12.2978006205214,0.000103262270602347,1.02962377936026,0.547572897286876,1.89362476056035,0.0724457762700157,0.689614769463939,0.499863379537469,1.34241121303969,0.201002657929285,-0.334953872391471,0.71194504748583,-0.41490219938347,0.672872535091596,0.00782302541681465,1,1,1
" g__Schlesneria",-2.22710873721273,1.24631796103086,-1.77263975578515,0.165173882616081,1.49339121402296,1.76255976351903,0.850356575282149,0.429164353245155,1.58727445460678,1.60898956905057,0.996503779916969,0.365791403667176,-2.25554354056976,2.29165048298171,-0.995756085580533,0.376259410394281,0.964738685018268,1,1,1
" c__Sumerlaeia",-3.69651953838318,1.08769053912004,-3.40351139059008,0.012658549670541,0.769847986432015,1.53822671208846,0.497306207876475,0.475595227370361,0.331516766673324,1.40420244794643,0.213886377938396,0.504614170965267,-0.422976122749866,1.99997643237636,-0.198109342702519,0.493866324274602,0.474612405844472,1,1,1
" g__FCPU426",-1.03961034312163,1.01312418457556,-1.00064489033177,0.39159510529282,-0.998524534288691,1.43277396219494,-0.717983713265084,0.466175565965256,1.99459785096213,1.30793769816704,1.53312401025834,0.198290097578747,-1.29569321710928,1.86286854518464,-0.693060381662391,0.471253525618192,0.999989922753522,1,0.997259884284506,1
" g__4-29-1",-3.7737861931595,1.16570559088437,-3.23323880559919,0.0140399497604739,1.80145492926932,1.64855665636282,1.10092498324484,0.354726732604087,0.544035190641221,1.50491944669202,0.34136183891293,0.525990644704449,-1.53888334487766,2.1434255654593,-0.719290695397107,0.473103080852764,0.52983600978703,0.992505822244875,1,1
" g__Subgroup_10",5.07332902333448,0.683662369034774,7.57589636313594,9.11494487308026e-07,-0.320948612970099,0.966844594373097,-0.28474468348095,0.717117687528991,0.395901813383596,0.882604323233463,0.456795037527045,0.65365161731921,1.19120380858128,1.25707503797754,0.925043777648908,0.371391170545519,0.000232308320899635,1,1,1
" g__Subgroup_7",7.21911230561112,0.847401928782912,8.73604796168352,9.35890146562186e-08,-1.8159441616757,1.19840730046591,-1.51511417748312,0.147322221923067,-1.16494573634425,1.09399118590675,-1.09147167621037,0.288508425460778,2.23682192728299,1.55814896366314,1.46091437969077,0.170106436378028,2.57424222445153e-05,1,1,1
" g__Holophagaceae",-3.67282241836414,1.08416129436719,-3.44907639520739,0.0109841724403091,1.19624870602587,1.53323560629406,0.832820223392645,0.406677774797688,0.23706753095339,1.39964621256227,0.207195779618152,0.50188510350981,-1.10194039206633,1.99348708078607,-0.602499288953889,0.454276290942712,0.455658451902615,1,1,1
" g__11-24",4.71353424150844,0.930998109803012,5.18857680717144,7.33075646037572e-05,-1.46797461664829,1.31663015342714,-1.11764425872882,0.292898257055495,-3.21489352561183,1.20191339153922,-2.71384018862783,0.0140855261690223,3.41402648750535,1.71186032352486,2.01955538966916,0.0681475189677421,0.017462447444583,1,0.974262085744293,1
" g__JGI_0001001-H03",-0.576964556480818,1.11355383939581,-0.47626401113571,0.561530003739289,-2.45592722155209,1.57480294210619,-1.60353685298568,0.214927258821639,-2.78319462673627,1.43759182502844,-1.99358301502831,0.122206057924216,3.61352180132619,2.04753222987081,1.81385303112062,0.16170130490653,1,0.980417588352167,0.939992091823324,0.974768227461371
" g__Blastocatellaceae",-3.62502028036932,1.06447480466622,-3.44205804627036,0.0121304051036549,0.636513887390739,1.50539470556342,0.423932479034746,0.458547083253557,-0.0603490451798947,1.37423106364322,-0.0537487180587334,0.492089501609778,0.215906729718707,1.95728881112932,0.132772822455928,0.500154339202747,0.490632604045688,0.996244596038408,1,1
" g__RB41",4.32849360740865,1.13009632254501,3.93294906244968,0.00211427256732825,-0.901631504349043,1.59819754613112,-0.567260511818707,0.585580946309374,-3.89893623548355,1.45894807894236,-2.71550149128255,0.0192891380052681,3.01540458352859,2.07794949952745,1.46949236269843,0.182915689011388,0.23040264411311,1,0.910082177800591,1
" g__Bryobacter",9.75655634215298,0.175533507531202,55.675219290334,1.69039717302122e-42,0.0106927146541158,0.248241867001546,0.0442673266214114,0.843116744771259,-0.0453066700628274,0.226612783789906,-0.20046265444355,0.795193274285044,-0.0204303564867967,0.322759889443166,-0.0642617198107618,0.83988829258077,5.622951920717e-40,1,1,1
" g__Elev-16S-1166",-2.69814067261946,1.11171198473937,-2.42195428039075,0.0490359332513647,-0.478614748067718,1.57219816627113,-0.331706537633209,0.536590160242989,-0.172555542555253,1.43521400089159,-0.12430901922733,0.579649535058134,0.476284159906534,2.04414554425365,0.234105543023424,0.577513452681201,0.862391490766587,1,1,1
" g__Candidatus_Solibacter",7.65338693597773,0.242332434802613,31.6703159105511,3.01775601768462e-31,-0.101792416799903,0.34270981590075,-0.294432417295019,0.755017010297638,0.273207586034624,0.312849828078805,0.874666847662829,0.396635475112877,0.135384886992321,0.445585523615665,0.301730671596618,0.756884578837619,9.86871036680055e-29,1,1,1
" g__Subgroup_13",7.06782432782219,0.301624981223984,23.4881327476157,3.61586511678628e-26,-0.692820517994059,0.426562139197489,-1.62252081107497,0.120000618707336,-0.249841883151928,0.389396176360205,-0.64310102503006,0.530772140146228,0.381072433674991,0.554608900388123,0.685047572593059,0.508020423278929,1.17593920208167e-23,1,1,1
" g__Subgroup_12",1.77531476269116,1.03974789982701,1.7826054898323,0.139529242262179,-2.13456381267363,1.4704255813843,-1.47662159123336,0.22001292471085,1.89753440891893,1.34230876676138,1.41936265780749,0.193134675678182,0.579303710695568,1.91182254554605,0.312984611082835,0.663782804830997,0.984217196946697,0.996074164653646,1,1
" g__Subgroup_2",12.8985388427563,0.151849784206593,85.0585584936183,1.04823894624203e-50,0.177232839855809,0.214748024268392,0.826587989593286,0.429327820091518,0.0180614851525448,0.196037228452442,0.0929846957231291,0.817847942044424,-0.189826443362338,0.279211759918696,-0.681341319094734,0.512770925310581,3.51160046991081e-48,1,1,1
" g__Candidatus_Koribacter",4.5632399108668,0.667909427130972,7.03623577550742,2.81072991771751e-06,-0.904914266594849,0.944566570285467,-0.905506906564591,0.395173237103042,0.276682635759639,0.862267362684398,0.331826681865962,0.743358352360946,1.28936680851236,1.22810952672681,1.01837932818621,0.326877682718231,0.000747754850784996,1,1,1
" o__Acidobacteriales",11.4706284690315,0.174439294601383,65.8418032703092,7.51871344141321e-46,0.393559235118912,0.246694416236072,1.59782601014342,0.128550668283345,0.0209690329748212,0.225200160971775,0.0937053004730256,0.834169992595535,-0.337006400713372,0.320747920052121,-1.05291175866223,0.313399230301604,2.51125028943201e-43,1,1,1
