"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Chthonomonas",5.62549624738568,6.12154993439228,4.98488611762491,-1.28090207506756,2.2854001205489,-0.438317531201452,0.266802455438185,0.030293537117871,0.201215831784491,0.00648432243827283,0.0899478626738419
" g__Chthonomonadales",-1.29903004411877,-1.44242179757258,-1.13682502642057,0.64704631157758,4.57135767440085,0.123297077382376,0.448369567224471,0.465172407362277,0.734889710623661,0.470272078326743,0.699211195868493
" g__Rokubacteriales",-1.87635988249852,-1.55861506805578,-2.18485944303791,-0.743536931597528,4.57490852469144,-0.134907501469996,0.43885869803933,0.443053280673336,0.702447764464538,0.442184761884229,0.663201078526795
" g__GAL15",-0.969011694740442,0.363288487418694,-1.81969520073257,-2.12434204438345,5.37579005115144,-0.365062077663691,0.333333340534692,0.101076675330235,0.356925742200679,0.0832462479872808,0.289636866873542
" g__FCPU453",-0.073592555207644,0.886269592775603,-0.820469746737814,-1.40027497916705,4.95647030122776,-0.260844979576095,0.370244570568059,0.258380985125836,0.518538118304118,0.210315809512842,0.447708298767525
" g__S-BQ2-57_soil_group",3.40021206615927,3.81640907597761,2.89985316392838,-1.08581924895752,3.35384881966119,-0.256892903201003,0.322690225191448,0.159311966981597,0.447938942784744,0.0423668492301306,0.219878067079793
" f__Methylacidiphilaceae",6.81467908743057,6.95334628511511,6.71388688790962,-0.164461418187032,1.7275968094481,-0.0743573058345269,0.455842393015975,0.791284624164088,0.931903428119238,0.662515872501725,0.856609616657254
" g__DEV008",-1.4385743816215,-1.6372934967178,-1.25264898701738,0.457253836563286,4.41890615305577,0.082841227882772,0.453804349618043,0.51005277405646,0.758865847174312,0.500785261856845,0.715064718726044
" g__RS25G",-1.78081787431402,-1.5919765007727,-1.99287370446803,-0.361203592335724,4.51932172775982,-0.0728931350560476,0.459239132012911,0.486073426316993,0.737838399961345,0.487728016989073,0.712024376798814
" g__SH3-11",-1.58324837537294,-1.68643368943434,-1.49025344846071,0.234393236477533,4.43487534411123,0.0471980732837926,0.477257298906524,0.517326176550941,0.757141547361786,0.512246802500172,0.741440627508395
" g__Pedosphaera",1.55133373551808,0.768969650849656,3.88085545790899,0.415419571196775,6.53852929454443,0.0592325178591927,0.461956523210781,0.531121908117185,0.790867603578799,0.645306926659994,0.837548432401024
" g__ADurb.Bin063-1",-1.68167784832728,-1.30637411560065,-2.05667130881445,-0.854825091654844,4.91324952370149,-0.152096766616745,0.423913046473893,0.38976054408358,0.659214518773929,0.399013821690916,0.632659509740015
" g__Ellin517",-1.26789113628115,-1.6637377776841,-0.916754120994171,1.07719138491626,4.50688293472653,0.217632668240081,0.402173916955569,0.390403430873945,0.637651098859398,0.349149830544869,0.571962827783262
" g__Pedosphaeraceae",5.37073837469988,5.21614930723169,5.60320210688761,0.373353711768828,3.03602984736433,0.0781255675116863,0.442934784832357,0.592541927504163,0.834912953833382,0.470903628092334,0.751662833346481
