"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__possible_genus_04",-2.39940632885469,1.09475553112356,-2.20487910558475,0.10326204724183,2.64417199755999,1.5482181195979,1.75990528930062,0.201185797859933,-0.14715996072292,1.43337145395579,-0.099997713459041,0.521748632276825,2.92863191748103,2.01296709193785,1.4656781026907,0.232490404666217,0.890054411640077,0.961999229871135,1,0.996698190842889
" f__Fibrobacteraceae",-0.183826315846534,1.02874685548465,-0.131703310544775,0.572905082406285,-0.481512975094671,1.45486775527508,-0.355524294994507,0.557033927434286,-2.12614111871506,1.34694581034464,-1.61214419401759,0.220388921546462,5.81250877773715,1.89159452238605,3.12217271424421,0.0164576041575463,1,1,0.969119431741625,0.689926496592423
" g__AD3",2.18676807906062,1.26870234640804,1.78678041158359,0.134686235327961,0.354944471437848,1.79421606490482,0.195750295628191,0.734945097209443,0.231121712769949,1.6611212962237,0.134550035372962,0.749919393235936,-2.00071186955603,2.33280947223229,-0.862789005800288,0.426845123715962,0.99711833930567,1,1,1
" p__Chloroflexi",-1.67796042880567,1.10851425412877,-1.50334651597253,0.243606180766669,-1.25043722168452,1.5676758922728,-0.831076575265309,0.410595750341646,-0.768553693070105,1.45138585099502,-0.538731649026997,0.47520010826604,0.587740405681943,2.03826575985885,0.297998362266707,0.51323955272487,0.986422499755932,0.990653640058503,1,1
" g__S085",-2.44039105975598,1.07927559186986,-2.292250911319,0.0947723305786229,-0.396326424749211,1.52632617956061,-0.257748136234958,0.51724943981238,-0.195522661803826,1.41310345584626,-0.126713660838499,0.522036472594678,1.45741865304895,1.98450356065895,0.751995094856282,0.448819581208233,0.875815050450477,1,1,1
" f__Anaerolineaceae",-2.17613127824828,1.25972044652942,-1.72638336074723,0.175973460495104,0.305342704865558,1.7815137402806,0.186270618691163,0.565879137645421,-0.491751580746731,1.64936122877276,-0.303421973982388,0.550932509331368,4.60439420236098,2.31629412395158,2.01325266725288,0.112055529767039,0.965849520477247,1,1,0.985391155931235
" c__Anaerolineae",-2.18879939347449,1.0950021136613,-2.03424563187695,0.139933162311407,-0.105245162859092,1.54856683996702,-0.0455919192613967,0.502486302942374,-0.519679645399077,1.43369430628273,-0.339250256109775,0.452611081333606,-0.114733809820056,2.01342049228141,-0.0791474923821821,0.499219713091742,0.918258893866984,1,1,1
" g__KD4-96",-2.46343763255562,1.00831297501831,-2.47411498940178,0.0719158790332626,0.149016573173461,1.42596988438766,0.139051188233232,0.518614472989342,-0.161357833640888,1.32019158063644,-0.134958981958044,0.509815391045211,-0.540183794305647,1.85402199795484,-0.305651861139568,0.464763941594896,0.829068007639538,1,1,1
" g__RBG-13-54-9",-2.26896289586773,1.0670712197272,-2.13400444915347,0.10110665283581,-0.387851709490133,1.5090665909562,-0.271330075285331,0.516175608043432,-0.453425452920254,1.3971241818025,-0.326337761451039,0.517591029185548,1.47533404235219,1.96206293459905,0.774769246589434,0.398848622372591,0.921650387980832,1,1,1
" g__OLB13",-2.3821414064526,1.09051912077719,-2.17154754276822,0.109536048809093,-0.581803800233949,1.54222693063028,-0.398212305598543,0.494238621342493,-0.448473824763246,1.42782469078804,-0.348531518453666,0.504782494731536,0.431230246713207,2.00517744906988,0.236453781306294,0.506884451111189,0.919892726267815,1,1,1
" g__A4b",-2.46401305412703,0.961971728772088,-2.57585425865232,0.0786328364437443,5.20725111198657,1.36043346544898,3.93393854098224,0.00638799550730572,-0.181166671580671,1.25951664671589,-0.147985747531596,0.458908985527381,3.36775550429433,1.76881265117283,1.92075016915931,0.150258151433195,0.792099476479317,0.392295069025924,0.993390195884589,0.983029857108802
" g__SBR1031",-2.23898469682341,1.14062575330276,-1.97621898793433,0.144797811886643,0.319574511447679,1.61308840991279,0.214321292957521,0.530965056224818,-0.508820363308372,1.4934296726074,-0.33424267215297,0.485262713834876,0.507970136544004,2.09731034951596,0.237864338459991,0.531027587361397,0.930200370675666,1,1,1
" o__SBR1031",-2.31536572453582,1.02488281500585,-2.28558630066146,0.101244016414771,-0.0987115694788834,1.44940317682439,-0.0676105003832706,0.491150652693826,-0.437659444194277,1.3418865937782,-0.317940362287633,0.451857485551242,-1.05765251085545,1.88448956963211,-0.5864895456707,0.494647682478129,0.877020002810755,1,1,0.994830674439899
" f__Caldilineaceae",-2.27334989379613,1.06687741732273,-2.14544927281629,0.112267550302686,0.265804507337457,1.50879251296738,0.185361850954768,0.524379485982785,-0.420725208379277,1.39687043489154,-0.299820977955715,0.462185377033854,0.474585513972613,1.96170658301969,0.252106982681516,0.541723937389975,0.900821335676223,1,1,1
" f__Roseiflexaceae",-2.35540688570169,1.05150304669082,-2.24512760019653,0.115550350346042,0.268546581168501,1.48704986950679,0.19231271957956,0.493479434119835,-0.259405344792894,1.37674065855353,-0.196011499055685,0.460367599368656,2.88208833169625,1.93343716463225,1.52219483728901,0.24575390775575,0.863158107721948,1,0.999676826818238,0.985248150695222
" g__AKIW781",-2.06516130429922,1.08483465164079,-1.89628936582191,0.148977204025725,-0.163545020514671,1.53418787728269,-0.10861972872189,0.536973585506376,-0.690980147917966,1.4203819736157,-0.513000752120309,0.463855354222435,0.655186651390786,1.99472520746762,0.344806598180012,0.51348151974752,0.943494204365873,1,0.99248295524592,1
" g__JG30-KF-CM45",-2.33261169299701,1.08545562568723,-2.17591610923347,0.102655187416709,-0.729020729413706,1.53506606720106,-0.472435440352031,0.534651683479058,-0.335609724034132,1.42119501949354,-0.226626180750425,0.513504299247089,0.682000280334936,1.99586701519081,0.34573977611943,0.549912451533926,0.929039747698745,1,1,1
" g__HSB_OF53-F07",-2.39154782112257,1.05103202269568,-2.28217915011141,0.0894508371855628,-0.611353392157009,1.48638374098466,-0.41446827732816,0.463049546760819,0.0254155879621422,1.37612394337871,0.0165407838439782,0.513126812831863,-0.971496574117856,1.93257107556052,-0.505954388146816,0.435866996798489,0.892084185825412,1,1,1
" g__OLB14",-2.31904380238436,1.13136617397172,-2.05122350870545,0.117576513459236,-0.206320696555288,1.59999338724096,-0.134934099779492,0.55208090576678,-0.384120936757341,1.48130603741085,-0.272398795133236,0.494754874210958,0.383273383469981,2.0802844218557,0.192631822060942,0.543546479108461,0.926139084111682,1,1,1
