"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Blastocatella",-2.18455473482739,1.06715223855329,-2.05800042888654,0.134070879381531,-0.598387953854999,1.50918116887887,-0.412213658605873,0.463426039893547,-0.0872693459205337,1.4194451707441,-0.0661163170057838,0.516135256473532,0.533498467880401,1.97809194928621,0.291018951447086,0.505676274257632,0.896067729656503,1,1,1
" g__RB41",-2.21124347079281,1.04026971091165,-2.11853970312112,0.128381864452938,-0.351954266337611,1.47116353369719,-0.270326898090518,0.458387099899991,-0.178367393894064,1.38368806631254,-0.140594991670784,0.502854175343063,0.191904395070968,1.92826202850894,0.115767146466923,0.487871967055274,0.891843769496191,1,1,1
" g__Bryobacter",11.4820685569002,0.291249429340425,39.4445002211227,9.30853938664971e-36,-0.677508286485821,0.411888893006654,-1.64579915396033,0.111319556209967,-0.131748381698793,0.387397956002693,-0.340717209715339,0.737967716026471,-0.190742559810454,0.539865007633331,-0.353256593603276,0.726751989045146,3.71410721527324e-33,1,1,1
" g__Paludibaculum",-2.25830951477449,1.06598349753627,-2.12260437938587,0.112885905286837,1.13038965471684,1.5075283194817,0.763077447554382,0.450843411431278,0.0211023747170178,1.4178905998661,5.87370029506552e-05,0.527907074864629,0.0410439686966224,1.97592555061033,0.0346953804345979,0.557681183754131,0.931766214748185,1,1,1
" g__Candidatus_Solibacter",9.80281763017114,0.326400143703686,30.0500526590687,9.91352005057604e-31,-0.980389328734197,0.46159950998628,-2.12520421567887,0.0417995100356272,0.0171316821883533,0.434152776869466,0.039161885061683,0.904997638435221,-0.0778345422376846,0.605020983118035,-0.128265532981621,0.873644393404729,3.90872526288076e-28,1,1,1
" g__Vicinamibacteraceae",-2.28713575924019,1.10993810585301,-2.07738969974671,0.118155225614573,1.07522111470698,1.56968952269203,0.714432475784838,0.450568735558241,-0.145170622684289,1.47635569439818,-0.0912014716455445,0.553899480451375,1.30384853427955,2.05740057704446,0.638288694194222,0.46791573344274,0.931608233950586,0.994384878812889,1,1
" g__Subgroup_13",4.62372047336409,0.906979827663701,5.28187964437807,0.000914767813982174,-0.818470014584425,1.28266317308082,-0.671660050940733,0.507585051762661,0.612036496952085,1.2063959478592,0.494307116740393,0.631618174588977,-0.312792132394007,1.68119358274388,-0.174132193678248,0.740459676358846,0.0704580023752889,1,1,1
" g__Subgroup_12",1.56772837305169,1.14739204225589,1.42517608372901,0.228036916827082,-0.730636789475573,1.62265738751725,-0.453858101923081,0.587235403536881,2.66640097979779,1.52617408696839,1.75718341545098,0.115796585751218,-1.32193368917769,2.12682584495943,-0.629737994058363,0.532362485482879,1,1,1,1
" g__Subgroup_2",14.2966149035344,0.350472964637392,40.8051004120489,1.77358604750891e-36,-0.875218624336409,0.495643619835307,-1.76664491283057,0.0869698242516455,-0.241150687813337,0.466172622010644,-0.517687246138872,0.610020943258615,-0.170549525821559,0.649642782675077,-0.262366614452948,0.792806251161556,7.09434419003566e-34,1,1,1
" g__Candidatus_Koribacter",6.20721657283924,0.69569762820539,9.27769087570715,1.14593805901453e-05,0.939808583232006,0.983865021118858,0.942148845935324,0.364099549881157,1.41200004875976,0.925364351006752,1.52986291828453,0.142929893949325,-2.67080023005134,1.28955722320951,-2.08752403646577,0.0447255175886045,0.00371354206718367,1,1,1
