feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__CL500.29_marine_group	Treatment	 	0.0163670619936995	0.0043159156001832	49	12	0.00043360998137501	0.00310556013277409
X.g__Steroidobacter	Treatment	 	0.0137874897672818	0.00363745576858954	49	13	0.000436054676177184	0.00310556013277409
X.c__Bacteroidia	Treatment	 	0.0232801182752995	0.00619646753191533	49	29	0.000482952620856495	0.0033981244648216
X.g__Acidothermus	Treatment	 	-0.0327351579710863	0.00873545386858651	49	47	0.000497309028775168	0.00345748181910355
X.g__Arenimonas	Treatment	 	0.0190786147881863	0.00511885599308962	49	11	0.000528950718503252	0.00363420258359881
X.g__GOUTA6	Treatment	 	0.0124167493630688	0.00336568149239551	49	11	0.000593400810106047	0.00389377610226889
X.g__Reyranella	Time_Point	Summer	0.0253063581087793	0.00685711567918507	49	40	0.000591066287934391	0.00389377610226889
X.g__Asticcacaulis	Treatment	 	0.0174455192695521	0.00472386332239666	49	13	0.000586544213691864	0.00389377610226889
X.g__KD3.93	Time_Point	Summer	0.0134782586242328	0.00364420972780099	49	18	0.000576889872841457	0.00389377610226889
X.g__Phaselicystis	Treatment	 	0.0112887369287252	0.0030654865153974	49	10	0.000605545090924845	0.00392931481222344
X.g__Rhodoferax	Time_Point	Summer	0.0157446015957619	0.00429200933362088	49	18	0.000632046567430493	0.00405621093823525
X.f__Comamonadaceae	Time_Point	Summer	0.0375980126460969	0.010411063356319	49	27	0.000750298603105314	0.00468826187639307
X.g__Novosphingobium	Treatment	 	0.00907480133069097	0.00251418723791925	49	9	0.000754617493802994	0.00468826187639307
X.g__WD260	Treatment	 	-0.049314836507762	0.0136620264985156	49	49	0.000754185828271642	0.00468826187639307
X.c__Acidimicrobiia	Time_Point	Summer	-0.0362410700467585	0.0100591993406492	49	48	0.000769825029809207	0.00473239807798502
X.g__Rhodoplanes	Treatment	 	0.0245272851100855	0.00681586239195943	49	12	0.00077961351315423	0.00474026054687079
X.f__Rhizobiales_Incertae_Sedis	Time_Point	Summer	0.0316729103949206	0.00880961693684936	49	17	0.000787337796312443	0.00474026054687079
X.g__SC.I.84	Treatment	 	0.00957082686845846	0.00268518989597504	49	9	0.000863621357776528	0.00514647829532135
X.g__A0839	Time_Point	Summer	0.0397412075299206	0.0111773873083685	49	18	0.000886564503308208	0.00522983504981812
X.g__WD2101_soil_group	Treatment	 	-0.0300211322293645	0.0084778750369364	49	49	0.000925326182580619	0.00540390490627081
X.f__Opitutaceae	Treatment	 	-0.0277089710834418	0.00784473477563197	49	43	0.000950228803950849	0.00549439229215145
X.o__Vicinamibacterales	Time_Point	Summer	0.0379469921914026	0.0107610383577496	49	32	0.00096684668623047	0.00553567122312347
