"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Luteolibacter",-2.09598946212851,-1.90172771589531,-2.39254913098672,-0.336312924485809,4.55298015644221,-0.0643693257971104,0.467794405825246,0.465574888653486,0.566636332728401,0.515381791081611,0.597954658650298
" g__Omnitrophales",0.0120270082215654,3.1876197723768,-1.54542776129068,-3.72936785408015,7.05445137902875,-0.505177893858772,0.289713550690378,0.0208322910973028,0.046601460190075,0.0149670230737381,0.0325544151948296
" o__Omnitrophales",0.594287331515409,3.34189209844171,-1.18676785396133,-2.60044722885195,6.60698534226954,-0.3977768109527,0.304687508140885,0.0697025847496072,0.120053243447495,0.0309205759255395,0.0607459858953726
" g__Candidatus_Omnitrophus",-2.24548027024017,-1.94512772934678,-2.54029515573748,-0.434922262230698,4.66256956930691,-0.0836191433949706,0.45507812659961,0.463490204268021,0.560594457360941,0.438221683858367,0.521310022639371
" g__BD7-11",2.24186652560457,1.62469355829034,2.75060473406752,0.458645431458902,5.52996069468292,0.0767225197190821,0.466493169697381,0.627438712478527,0.718520551920052,0.729952986470548,0.800117328221971
" g__Pla4_lineage",-1.34047596588696,-1.86340624931962,-0.529534372005662,1.38480378553136,4.91228548521207,0.262306450296814,0.359791807580093,0.295565336992953,0.381607372595072,0.208095146092724,0.280635698604353
" g__OM190",-1.02088688106104,-1.89895740616129,0.6782025339317,2.89065186541659,5.4083265764394,0.463512960478379,0.302083341622832,0.0458795010636874,0.0838496391388964,0.0343347850483124,0.0632040761579526
" g__vadinHA49",6.85630728456038,7.44826512829253,6.2153306791352,-1.10605055673087,2.87776868940621,-0.295236694395195,0.344176974207707,0.241470947435134,0.359211065745963,0.0515868837787216,0.0998509286584419
" g__CPla-3_termite_group",1.74578605903665,-1.31782003428893,4.44175032328947,5.56148705135715,3.9542215911882,1.30945779486473,0.0651042297606368,7.7982566867723e-07,7.8711209311194e-06,1.87915939033149e-08,3.9687677888823e-07
" g__WD2101_soil_group",9.24988933200434,10.183031552964,7.55520333077049,-2.42304431005643,1.66921718241879,-1.35480253639767,0.0767729869458394,8.88081174400738e-09,3.77565714173562e-07,3.0653565317386e-08,6.61074672111158e-07
" g__Tepidisphaeraceae",-1.92770859950901,-1.8761441782436,-1.97799319837857,0.268932495930227,4.71096862213545,0.0524067678773197,0.475260417542645,0.512918690669233,0.612929029264546,0.55796441219774,0.639704313486655
" g__Phycisphaera",-1.96980691514759,-1.86758846630819,-2.09856681481622,-0.0687998512593397,4.55547399838384,-0.0130308755336018,0.491216656132963,0.534956135776518,0.631583705734685,0.51156597668755,0.598344567664089
" f__Phycisphaeraceae",3.88960316314006,4.32147713496652,3.18474534648329,-1.08588197934185,2.99327740276658,-0.302839390845459,0.283203134430508,0.13550043531203,0.220005630117464,0.0116074337706932,0.0267286599099602
" g__SM1A02",-0.744933859596792,-1.83711918184253,1.19961008106074,3.28362472369295,5.21163573481224,0.576294722180609,0.252439829395718,0.0258352290559542,0.0473529014964294,0.0108894802540717,0.023047534715798
" f__Pirellulaceae",7.21894895944802,7.85475987847418,6.8566078152504,-1.09254150130513,1.43834162088781,-0.658461052990736,0.233072929852966,0.00344184114268598,0.0111687132495844,0.00139856732648529,0.00432167237790819
" f__Gemmataceae",8.13860486949842,8.80110520102032,6.33127356764565,-2.35289890516026,1.99522743330317,-1.04188297358612,0.121665613525045,9.98870256911951e-05,0.000477129950382702,1.70503512851894e-06,1.47609470597385e-05
" g__Gemmata",5.95115877141715,6.93502835020236,4.80692118265821,-2.03148216436878,2.3630731843667,-0.695639330796125,0.189453142857611,0.0116787614021912,0.0270463600845991,0.000109643893803821,0.000491460086670745
" g__Fimbriiglobus",2.32627396265991,1.50707719898562,2.80123488900954,0.915625909470267,5.12584045470551,0.170689176076421,0.400780745348082,0.363648914652798,0.476702125407968,0.322764690263155,0.431870622806706
" g__Zavarzinella",-1.72983276157112,-1.9220324264409,-1.44120111119257,0.871527826309965,4.95799294480067,0.149418333433755,0.423828127754413,0.422345194056147,0.521759709279198,0.421049297984374,0.508783150053289
" g__Telmatocola",-1.82670281705576,-1.91007567440264,-1.70587100724014,0.797558229547515,5.08181216866155,0.129271593115924,0.441769683279473,0.46102559145809,0.55548666207026,0.525800183144633,0.604517274258378
" g__Tuwongella",-2.30480717036095,-1.81339164352462,-2.75194605806867,-0.795578272073407,4.36073000400409,-0.153033109593628,0.419921877902921,0.421255658586252,0.514136988237492,0.383541324937288,0.465332125689248
" g__Blastopirellula",-2.35119265864876,-1.91955149478952,-2.70001060673044,-0.669746010988442,4.47153288636949,-0.138304930607553,0.43461288458481,0.451961131099698,0.543838563519311,0.418741200758773,0.502675944468361
" g__Pirellula",-0.677959632728604,-1.80133264897914,1.78950886570705,3.40069978736001,4.96374657238913,0.610846169326303,0.254557303088256,0.0175493005932304,0.0362715231283501,0.00771341665043294,0.0168088002279806
" g__Pir4_lineage",-0.987641060587427,-1.8274847621776,0.364853930420252,2.28925499949377,4.92344965387916,0.41790882848194,0.297332474397213,0.0652647897590445,0.113189534611475,0.0415943028370661,0.0740433581566048
" g__Aquisphaera",6.9025201318006,8.28773757646791,5.18621808108907,-2.86404733237496,2.57704242625069,-0.937385567653068,0.141927109296518,0.00135916637399364,0.00445126887220196,5.42292815901937e-06,3.8491229555308e-05
" g__Singulisphaera",-1.94908556101813,-1.15960955199384,-2.65514518283083,-1.70597269789543,4.76272088137292,-0.304010528428977,0.35718933534854,0.215488230327149,0.295998475559089,0.179260996291556,0.250382425701502
" f__Isosphaeraceae",5.42939463522162,6.75221239647116,3.82679170887119,-2.74378818382776,3.14441023163428,-0.738789631727059,0.129557320673137,0.000498951367850117,0.00209519724031133,3.49753851894117e-06,2.66206798427104e-05
" g__Tundrisphaera",5.87227437668763,8.09018357192964,2.77578518226135,-4.84602540016341,4.39459689130254,-1.02593578777529,0.0963542076028416,6.07291442978728e-06,5.67089171014376e-05,1.36078649398938e-07,2.06332624992862e-06
" f__Gimesiaceae",6.14414638679121,7.09800412796857,4.56994448917137,-2.43221002594673,3.32665383543582,-0.634715926130232,0.175666903291287,0.00134741315836693,0.0048240338165116,3.84575437795653e-05,0.000200544301920653
" o__Planctomycetales",5.71511270746125,5.87876107368499,5.394750564512,-0.241595645897109,1.89674648557862,-0.0828518413472948,0.448275863913288,0.691400337030645,0.779101816062865,0.471593556185974,0.583951194383759
" g__SH-PL14",-1.05696676657301,-1.7787152207895,0.325488849301018,2.15885157992491,4.87779705327978,0.369580115010639,0.328562140880541,0.156065559588503,0.227084723025318,0.0810542343047824,0.130235833682642
" g__Schlesneria",4.20798613549591,5.05960328618339,3.60019866708803,-1.55399981387831,1.73049059273638,-0.776038687084024,0.160052071747215,0.0130887161893703,0.0276924076303025,3.55605110956992e-05,0.000174344562708072
" g__Planctopirus",-1.86990705984239,-1.88777784618287,-1.8543274545544,0.245407657323372,4.4800077801059,0.0400089213945525,0.480806767106153,0.530904134239401,0.628214534173404,0.566160039091247,0.646753910995876
" g__Sumerlaea",-0.0227220806635673,-1.83881672050067,2.80674846250003,4.57925954563038,4.36000032220864,0.940563507345807,0.138581679269309,0.000843371371613985,0.00230059206660327,3.87785795923413e-05,0.000169254309698606
" g__Hydrogenedensaceae",-0.954348235414959,-1.97387773391936,0.431922779932521,2.34234902147512,4.79475309126965,0.438752236570892,0.28757320367871,0.0716436466524629,0.119129305747447,0.0397298140675203,0.0690246730099747
" g__FCPU426",4.83876388686436,6.48647061883341,3.53896703538886,-3.11302278276695,3.11009677092952,-0.92997486023746,0.11646067047691,0.000549216009035549,0.00180042325425783,8.66059234892291e-07,8.63913458611874e-06
" g__Turneriella",-1.35971704487492,-1.72498907358942,-0.879438388730174,1.0868002881607,4.64119160553724,0.205157103206508,0.395182295539145,0.3216555839853,0.422453938468857,0.282586502784818,0.369214463531973
" g__Subgroup_10",-0.168278522606361,-1.70519146264931,2.20124243536844,4.44547758387141,5.27957265610941,0.773113857462521,0.212239598531341,0.00386285055800997,0.00950203611538146,0.000850861660772424,0.00253693035442123
" g__Subgroup_7",-1.19028013583162,-1.96586569710854,0.4803555603245,3.09288612204697,6.13738689675581,0.438473249620555,0.308593757921582,0.0502365626344692,0.0880037506866711,0.0557439157752324,0.0927636806240021
" g__11-24",-1.38441609969726,-1.40539125152851,-1.36004281832077,0.20731813171103,5.29370062389156,0.0311202148199781,0.481457385170287,0.569108045487664,0.662827578434245,0.599330469257797,0.679928650194314
" g__JGI_0001001-H03",-1.06331489363097,-1.92656609232292,0.630891088989628,2.81952967921448,5.30881338822423,0.450546742546498,0.313597925658895,0.0726098987249957,0.118833372375795,0.0466322050985399,0.0809347373052476
" f__Blastocatellaceae",-0.837943793777505,-1.70795592325526,1.06472437186886,3.25851949630795,5.19019524519634,0.527554657526911,0.27539063493919,0.0207462110177709,0.0444075155103175,0.0152494366019587,0.0320660875144506
" g__Blastocatellaceae",-2.30933872413175,-1.83450519576834,-2.72408782732081,-0.890576453973695,4.60460626276311,-0.158812298948906,0.417046196893237,0.510873940101606,0.607852582006899,0.381944558231958,0.462414964703757
" g__Blastocatella",-2.13566020511166,-1.78614899889813,-2.53056354983619,-0.550500839445349,4.79274598317981,-0.0944970547373317,0.452179572294516,0.453459357922091,0.547623664799323,0.483280797319092,0.561996621127393
" g__RB41",-1.72783359705999,-1.87854390920989,-1.53886845306563,0.776362455902734,5.24670844011848,0.124972359311568,0.438516592963368,0.416825054955725,0.512545156171097,0.472964307110289,0.555851656712933
" g__Bryobacter",10.3311093694251,11.3039270878542,9.01759458936224,-2.15731088140167,1.76839767689353,-1.12546898953156,0.118412524103315,1.08443787355178e-06,1.63791209598302e-05,1.17570691406488e-06,1.12903660789721e-05
" g__Paludibaculum",-0.0588724313115492,-1.85601715346466,3.90788265746722,5.59372041055005,4.68701416641059,1.06196024991861,0.133376735844272,0.00016788490499817,0.000669607893968046,4.10341662365119e-05,0.000168682475046444
" g__Candidatus_Solibacter",9.19360344218756,10.1929089570079,7.37236684331969,-2.62757516692149,1.80990868829418,-1.34445271888126,0.059206315721909,1.44542386284823e-08,5.26544578403943e-07,3.1207196422577e-09,1.33786905425171e-07
" g__Vicinamibacteraceae",0.337817100954085,-1.74653554042158,4.92450056767179,6.33655256121102,4.70163598009863,1.18810055838,0.12565107175524,0.000270141081566999,0.000710468116108729,1.08848091100651e-05,5.38467476250408e-05
