"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Metapochonia",3.83893793899224,1.2416760730952,3.16010928023834,0.0108574840428037,-2.05661965282629,1.71153235258481,-1.20764407477691,0.282086325737945,-0.863236562041923,1.61528059841332,-0.529402880137257,0.571344504346387,1.23225546872436,2.2185063933548,0.54984178473831,0.557239546194509,0.548783696280774,1,1,1
" p__Chytridiomycota",1.8878781359417,1.15436974080664,1.68595042631374,0.177363969162282,0.0428749116360938,1.59118887852165,0.0565259249165701,0.620283681192591,0.941837329432961,1.50170490204608,0.648485983924822,0.498490425166089,-0.280684451393974,2.06251590552999,-0.160889394955551,0.611017332581795,0.9828572182639,1,1,1
" g__Pseudotomentella",-0.442925167617498,1.32752886621599,-0.321141807320237,0.585109436251107,0.271642690873306,1.82987226117283,0.156306899824535,0.617816523046559,0.031086580288556,1.72696540417906,0.0281415214509272,0.590177723387594,-0.738592904106944,2.37189983835457,-0.325599166217095,0.557305729994266,1,1,1,1
" g__Penicillium",1.47671568719929,1.14909013165137,1.34120222792334,0.253844353944937,0.0384955522524896,1.58391143952283,0.0203126737678462,0.683386101444259,0.943887966433829,1.4948367256992,0.64339092919528,0.522001256547881,-0.270933546689473,2.05308281189214,-0.133538457257688,0.671720640657944,1,1,1,1
" g__Hydnotrya",0.752145059126809,1.21813895693225,0.674391435647726,0.462189125460106,-1.53498872883158,1.67908867691744,-0.947024575493681,0.384936906353562,-1.30651077958027,1.58466146359675,-0.85096550938011,0.423463615739762,1.72967925954184,2.17645255675435,0.827070202178729,0.450763432084979,1,1,1,0.994530024267383
" f__Albatrellaceae",-0.566249986734866,1.07706577995472,-0.457948415774457,0.470948504158081,-0.556222132006651,1.4846327220104,-0.417046862707389,0.493409172710575,-0.848959073209524,1.40114116336233,-0.641521738352207,0.427424972968436,0.520633100145566,1.92439668498794,0.292473200329455,0.514155689742111,1,1,0.999457172000058,1
" f__Clavariaceae",-1.13045577416693,1.15160967242879,-0.972996352752398,0.406405380565106,-0.13942728521456,1.58738438681371,-0.0750752978269582,0.530571128905477,0.27494372422927,1.49811436422575,0.190699071770199,0.561664736330356,0.105933269424532,2.05758448301567,0.0512536859930513,0.539438601807715,0.990519278118004,1,1,1
" g__Elaphomyces",1.26367207327605,1.59320834520571,0.818392354448292,0.446865266033292,-0.832678775413437,2.19608615025525,-0.378905864376345,0.639950248332464,-1.97200515209538,2.07258445660946,-0.961728293085227,0.393194020952473,3.0406657356837,2.8465901666079,1.07900115565816,0.355248090433356,1,1,1,0.998589750280221
" g__Leptobacillium",0.59160749796309,1.2383750205505,0.525728264240872,0.513021993434492,0.812747106298053,1.70698216566388,0.467624331750581,0.545086596897401,-0.576427426814418,1.61098630117643,-0.3723207941331,0.52355771546235,0.328587461770281,2.21260839279419,0.160360376692465,0.582700188980435,1,1,1,1
" g__Hygrophorus",-1.22283524326703,1.14680585950224,-1.0453974994458,0.387801763523845,0.647559093586162,1.58076278765615,0.403429517882945,0.546109174408165,0.815703379239826,1.49186514513649,0.561939782033206,0.52006855823724,-0.160386888022861,2.04900149593799,-0.0736830120861426,0.596799504142793,0.988924130810883,1,1,1
