feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.o__GS25	Time_Point	Summer	0.0440590062414235	0.0250504591507308	44	38	0.0860718470260528	0.369790157593412
X.g__Sebacina	Time_Point	Summer	0.130830689741851	0.077460877333378	44	41	0.0988136817941691	0.376090920456548
X.f__Clavulinaceae	Time_Point	Summer	0.0152884786908341	0.00883081230753175	44	9	0.0909243087738063	0.376090920456548
X.g__Lecanicillium	Time_Point	Summer	0.00868833352108161	0.00521312615003037	44	5	0.103211469243834	0.376090920456548
X.g__Clavaria	Treatment	 	0.118261272317289	0.071027793885286	44	6	0.103537497039562	0.376090920456548
X.g__Mycena	Treatment	 	0.0089744159452729	0.00551202020435319	44	10	0.11115367276601	0.376090920456548
X.g__Thelephora	Treatment	 	-0.040624548167541	0.0249649959569375	44	20	0.111343872454684	0.376090920456548
X.o__Tremellales	Time_Point	Summer	0.00418397906129117	0.00258696347289553	44	6	0.113475708758441	0.376090920456548
X.g__Hygrocybe	Treatment	 	0.0234098257899292	0.0144528830178118	44	5	0.11295693241049	0.376090920456548
k__Fungi	Treatment	 	-0.00845403477129979	0.00531436904758219	44	11	0.119339404843646	0.384538082273971
X.g__Sebacina	Treatment	 	-0.118426574202468	0.0768167008494452	44	41	0.130835708643615	0.410187627098902
X.g__Cortinarius	Treatment	 	0.0823859981605225	0.0549514220504107	44	38	0.141469654270186	0.429360059540244
X.g__Lactifluus	Time_Point	Summer	0.046234136722603	0.0320803657270818	44	11	0.157123387362767	0.429360059540244
X.g__Cenococcum	Time_Point	Summer	0.0242672945651926	0.0169902968464853	44	19	0.160778583725342	0.429360059540244
X.g__Butyriboletus	Treatment	 	0.0418752154978094	0.0294675790840259	44	19	0.162860712239403	0.429360059540244
X.g__Membranomyces	Treatment	 	-0.0225180177706636	0.0154262342304726	44	6	0.151986692286988	0.429360059540244
X.g__Hygrocybe	Time_Point	Summer	0.021561681648619	0.0145740833201178	44	5	0.146662231556828	0.429360059540244
k__Fungi	Time_Point	Summer	0.00786239342277727	0.0053589347674001	44	11	0.149963070415765	0.429360059540244
X.g__Lactifluus	Treatment	 	0.0446619689722109	0.0318135805071261	44	11	0.167888657939371	0.432779651577046
X.g__Hyaloscypha	Treatment	 	-0.00808832513285888	0.00601010830367153	44	10	0.185766402121712	0.468454405350405
X.g__Piloderma	Treatment	 	0.0428332678755582	0.0331152709601322	44	21	0.203092259489816	0.469653942253186
X.f__Hyaloscyphaceae	Treatment	 	-0.0178521651235776	0.0139393713050015	44	24	0.207496381444465	0.469653942253186
X.o__Helotiales	Treatment	 	-0.00829624258820319	0.00648736045487162	44	16	0.208147559726461	0.469653942253186
X.f__Clavulinaceae	Treatment	 	-0.011469928849858	0.0087573739239455	44	9	0.197573778145597	0.469653942253186
X.o__Agaricales	Treatment	 	0.0206359366227996	0.0162229957248976	44	8	0.210534525837635	0.469653942253186
X.o__Hypocreales	Treatment	 	-0.0128563383593987	0.00993925563441537	44	22	0.20308151448815	0.469653942253186
X.g__Tylopilus	Treatment	 	-0.0220001817886623	0.0180429796728077	44	8	0.229690910610668	0.493410104274768
X.g__Apodus	Time_Point	Summer	0.00358925046018843	0.00292487595135432	44	5	0.226767542675314	0.493410104274768
