feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Mycena	Time_Point	Summer	0.00608726196813615	0.00860751510259588	47	29	0.483169193494417	0.825941413930103
X.g__Trichoderma	Time_Point	Summer	0.00475382638728623	0.00770996401613201	47	18	0.540687649012478	0.825941413930103
X.o__Hypocreales	Time_Point	Summer	0.0046261383462758	0.0070663568710891	47	11	0.516087509561126	0.825941413930103
X.p__Chytridiomycota	Treatment	 	0.00255401227060368	0.00396055732979443	47	18	0.522364980845372	0.825941413930103
X.g__Penicillium	Treatment	 	0.00290338775600496	0.00491181413449156	47	15	0.557476019484335	0.825941413930103
X.o__Tremellales	Time_Point	Summer	0.00230795362546796	0.00384092532414044	47	11	0.550999762053777	0.825941413930103
X.g__Saitozyma	Time_Point	Summer	0.00374592233212121	0.0060827129121004	47	13	0.541178929028477	0.825941413930103
X.g__Meliniomyces	Treatment	 	-0.00144183228340885	0.00235288431392266	47	7	0.543167370678463	0.825941413930103
X.g__Hyaloscypha	Treatment	 	0.00247519618130666	0.00406441387634607	47	5	0.545661295161843	0.825941413930103
X.g__Elaphomyces	Time_Point	Summer	-0.00708582774352706	0.0128787509811622	47	10	0.584967914146254	0.841783095966561
X.g__Piloderma	Treatment	 	0.0377749553562833	0.0725756767460607	47	42	0.605331101733524	0.850346071482808
X.o__Saccharomycetales	Treatment	 	-0.00161498240234464	0.00307117997466035	47	5	0.601632332604369	0.850346071482808
X.g__Lactarius	Time_Point	Summer	-0.0264640890926598	0.0533982418424383	47	16	0.622644056882125	0.864376455436362
X.g__Amanita	Time_Point	Summer	0.03645391047436	0.0820463291238877	47	39	0.658997015383846	0.891217434961029
X.g__Hydnotrya	Treatment	 	0.00156230543410649	0.00357948613457191	47	5	0.664636731157378	0.891217434961029
X.f__Clavicipitaceae	Time_Point	Summer	-0.00105359827098333	0.00239993859775395	47	6	0.662802307053346	0.891217434961029
X.g__Russula	Treatment	 	-0.0337612840878403	0.0820629682838123	47	38	0.682771202074198	0.897829393624343
X.g__Cenococcum	Time_Point	Summer	-0.0177587044161538	0.0437796378662885	47	33	0.686974107495615	0.897829393624343
X.g__Laccaria	Treatment	 	0.00237952508334596	0.00613405039316649	47	6	0.699945173075971	0.897829393624343
