"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Trechispora",0.79308359621707,1.15873540173619,0.492545299531177,-0.330200937809866,5.06586506332372,-0.0543570532120439,0.469460228561281,0.57543627837675,0.889197846963233,0.614937502037908,0.910713276242578
" o__GS25",-0.549424702460717,-0.518520579758115,-0.573450880277562,-0.171608047686116,4.37098313140864,-0.0275733892712657,0.48687012120446,0.515002178547274,0.85299220129239,0.525675466677097,0.861429049684809
" g__Lecanicillium",4.81683052138521,4.40744241037682,5.06617034917664,0.988249432590525,3.60373536470097,0.221075800978206,0.37855114178885,0.104274671159158,0.601791984683973,0.14294013129673,0.687733446708146
" o__Agaricales",1.11886650017679,0.840569965737851,1.32472488950699,0.778671447633756,5.96102736209953,0.122404095744409,0.440738114659262,0.418260061361504,0.82039393284535,0.512312969297195,0.866833488402194
" g__Mycena",5.14611368729268,3.199073457168,6.06109155230714,2.05410342827402,5.56145174381321,0.362582373218286,0.312500009171321,0.0713467512483134,0.53715582372799,0.030946361465597,0.457621654150753
" f__Boletaceae",-0.390017253946882,-0.690159153588912,-0.0560034636952036,1.06186459013299,5.63628018876311,0.148990377483049,0.415482958202643,0.190964283064724,0.640267987876848,0.378437866577169,0.773904503205943
" g__Thelephora",-0.465962378391407,-0.66854056667529,-0.300895781693476,0.406329893051741,4.61096209662031,0.0796502051947245,0.458806819925216,0.424058923700028,0.796861811738991,0.454830511537759,0.811490254539051
" g__Trichoderma",3.29862128285322,3.02859873710627,3.57435310073852,0.618381761428645,4.88341942506532,0.111392769983127,0.442867284190019,0.540404510645695,0.875812710418337,0.485925334265632,0.877570831903311
" o__Leucosporidiales",5.59706531874639,6.35756421197101,4.07423775063313,-2.13302013030976,4.35932007007341,-0.427721102860171,0.311789781944782,0.00838493532303616,0.25589713468383,0.0297880202320501,0.457964730138916
" g__Xenasmatella",-0.606179816034653,-0.475264270988005,-0.700363552888749,-0.106173241757434,4.7422327627727,-0.0205478458894136,0.490056818599947,0.530251874627499,0.869594809240852,0.537429171965631,0.870341732611602
" g__Apodus",0.347658857562566,-0.607186083441057,1.83956863748359,2.66774838158181,4.92672277226013,0.497229855322508,0.293115695360857,0.0639255089888818,0.401351000220672,0.0374416319890128,0.352979613732486
" g__Suillus",-0.347162617402354,0.105276797585176,-0.734182850572018,-1.09196630501082,5.22080149786272,-0.164404535222606,0.407670458563561,0.264690940595326,0.679869187399663,0.311821698393816,0.729211349170604
" g__Tomentellopsis",0.429248733708959,0.0886597032129064,0.786295595908535,0.767549964109724,5.2692719499441,0.128324723430158,0.438210229910356,0.427177930497915,0.806566840251173,0.46509332220363,0.834515727173448
" g__Apiotrichum",-0.0196311586357414,-0.488580284373201,0.472607149403021,1.24649231188915,4.85065534488722,0.224895663012798,0.39034776920716,0.303744680219725,0.704326900773375,0.288700633159601,0.705033548568906
" p__Basidiomycota",3.26855196199569,4.62224996834519,1.53990654398346,-2.36936479976671,6.10682326412479,-0.361168438462765,0.33144074609472,0.0793381391771949,0.516170748789274,0.0594240743137457,0.515232428304105
