feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.f__Chaetosphaeriaceae	Treatment	 	0.00334668645096593	0.00213263638033267	48	7	0.123590346851384	0.449868862539037
X.g__Pseudotomentella	Time_Point	Summer	-0.0127116577593893	0.00815604323948433	48	5	0.126107190708379	0.450029582527939
X.g__Hygrophorus	Time_Point	Summer	0.0120574983076498	0.00794969783894938	48	18	0.136330503078451	0.473025305332742
X.p__Mucoromycota	Time_Point	Summer	0.0121487276075809	0.00806276919586976	48	7	0.138858416627038	0.473025305332742
X.g__Meliniomyces	Time_Point	Summer	0.0061044925606278	0.00406703426842435	48	18	0.140348167516308	0.473025305332742
X.g__Trichoderma	Time_Point	Summer	0.030897168163699	0.0212066521846793	48	30	0.152071470264324	0.495220081731172
X.g__Mytilinidion	Time_Point	Summer	0.00712450342511397	0.00489370198587257	48	7	0.152375409763438	0.495220081731172
X.p__Mucoromycota	Treatment	 	0.0114790621250146	0.00794999763924724	48	7	0.155691506818754	0.497120249842336
X.g__Spencermartinsiella	Treatment	 	0.01234220141523	0.00877065161172857	48	16	0.166233195001139	0.521628301555298
X.f__Hydnaceae	Time_Point	Summer	0.08412296879047	0.0613687325695857	48	6	0.177242616748794	0.539009859752476
X.p__Chytridiomycota	Time_Point	Summer	-0.00909567314260048	0.00665918311368984	48	25	0.17876339693823	0.539009859752476
X.o__Eurotiales	Time_Point	Summer	0.00430160184304977	0.00316332965860286	48	11	0.18065715079616	0.539009859752476
X.f__Clavicipitaceae	Time_Point	Summer	0.00488344728798502	0.00362826860935695	48	8	0.185062471971603	0.543247901594062
X.g__Sebacina	Time_Point	Summer	0.0782257491747988	0.0590491857715336	48	5	0.191940474568709	0.54944958274281
X.g__Tylopilus	Treatment	 	-0.0141298776280861	0.0107303466762674	48	11	0.194567726486866	0.54944958274281
X.o__Tremellodendropsidales	Time_Point	Summer	0.0129860792539371	0.0098992374132338	48	10	0.196231993836718	0.54944958274281
X.g__Tomentellopsis	Treatment	 	0.0127773758485806	0.00993828010664863	48	20	0.205134247876937	0.560947740270414
X.g__Saitozyma	Time_Point	Summer	0.00500280057198451	0.00390979686459083	48	6	0.207259745550885	0.560947740270414
X.o__Chaetothyriales	Time_Point	Summer	-0.00711090317088547	0.00562481972576061	48	23	0.21266700043219	0.560947740270414
X.f__Mycenaceae	Time_Point	Summer	-0.00673647959656317	0.00530983130469302	48	6	0.211078694191086	0.560947740270414
X.g__Talaromyces	Treatment	 	-0.00414123364636178	0.00334792642650664	48	9	0.222520399067111	0.578553037574489
X.g__Mortierella	Time_Point	Summer	0.0204200316963224	0.0167247868838332	48	47	0.228465938300684	0.5818244344162
X.o__Sebacinales	Time_Point	Summer	0.0213933638960921	0.0175873553264601	48	19	0.23017230372509	0.5818244344162
X.g__Botryobasidium	Time_Point	Summer	0.00623797562278438	0.00519408653164734	48	15	0.236043775781131	0.583816981399601
X.g__Hyaloscypha	Treatment	 	-0.00565542276694339	0.00472263457030933	48	13	0.237376135294343	0.583816981399601
X.g__Porosphaerella	Time_Point	Summer	0.00769997662636658	0.00655028120270858	48	7	0.245969507983948	0.596886006041048
X.o__Helotiales	Treatment	 	-0.0535419105939997	0.0465459947400951	48	46	0.256096183992516	0.601807556837551
X.g__Saitozyma	Treatment	 	0.00446538906681168	0.00385511169777202	48	6	0.252850722150217	0.601807556837551
X.g__Cladosporium	Time_Point	Summer	0.00223758574599302	0.00195278707533585	48	5	0.25791752435895	0.601807556837551
X.g__Leotia	Treatment	 	-0.0145165031514828	0.0132071714007121	48	6	0.277553725745524	0.616033879093724
X.o__Agaricales	Treatment	 	0.0166392407787326	0.0149687667956819	48	19	0.272215140908407	0.616033879093724
X.g__Cladophialophora	Treatment	 	0.00896879709022342	0.00803919901727638	48	33	0.270501528872391	0.616033879093724
X.g__Phialea	Treatment	 	0.00597205108853435	0.00543267073810583	48	6	0.277490473767486	0.616033879093724
X.o__Chaetothyriales	Treatment	 	-0.00601467990408298	0.00554614704385871	48	23	0.283928631719312	0.622590493649575
X.g__Apiotrichum	Time_Point	Summer	0.00983379879870148	0.00943549607395766	48	8	0.302879869100885	0.64851924913366
X.g__Pseudotomentella	Treatment	 	0.00842098038618353	0.00804196708653326	48	5	0.300631846138277	0.64851924913366
X.g__Laccaria	Treatment	 	0.00793893093955707	0.00802316947501667	48	5	0.327709198111948	0.693524116934588
X.g__Laccaria	Time_Point	Summer	0.00784643946890338	0.00813697898186195	48	5	0.340052258359477	0.705692124497218
X.o__Leucosporidiales	Treatment	 	0.0107590120305611	0.0111861688042377	48	31	0.341283133065248	0.705692124497218
X.g__Meliniomyces	Treatment	 	-0.00382639764374395	0.00401014986876644	48	18	0.345091203737651	0.705692124497218
k__Fungi	Time_Point	Summer	0.00659838355848261	0.00701032176449023	48	28	0.351608330236877	0.711030178923462
X.o__Hypocreales	Time_Point	Summer	-0.00420837337445575	0.00455766448538584	48	9	0.36074345250944	0.719166006507403
X.c__Cystobasidiomycetes	Time_Point	Summer	-0.00361976386248105	0.00394327460881501	48	10	0.363534464827918	0.719166006507403
X.g__Amanita	Time_Point	Summer	0.0577220497716653	0.0650348641783416	48	35	0.379499296559597	0.732455267794456
X.g__Byssocorticium	Time_Point	Summer	-0.0121835184389226	0.0137972975773739	48	8	0.381909682586695	0.732455267794456
X.g__Hygrophorus	Treatment	 	0.00691559210957909	0.00783850777779319	48	18	0.382325551870733	0.732455267794456
X.g__Metapochonia	Treatment	 	-0.00544423519562109	0.00623539266165942	48	31	0.387234067074837	0.734131252162713
X.g__Byssocorticium	Treatment	 	-0.011520388742836	0.0136043188764852	48	8	0.401577465102584	0.740344898636971
X.o__Eurotiales	Treatment	 	0.00263487151227737	0.00311908510675663	48	11	0.402715082225605	0.740344898636971
X.g__Volutella	Time_Point	Summer	0.00177049236945861	0.00208394709429021	48	5	0.400052747113667	0.740344898636971
X.f__Clavicipitaceae	Treatment	 	-0.00292813381240722	0.0035775210945786	48	8	0.417395775396107	0.759660311220914
X.g__Cortinarius	Treatment	 	0.0657387476614856	0.0847879104702223	48	47	0.442199246166318	0.77701378418515
X.g__Russula	Time_Point	Summer	-0.075518417244393	0.0979573155607809	48	39	0.444776441459342	0.77701378418515
X.p__Ascomycota	Time_Point	Summer	0.0087751677879166	0.0114711152968554	48	32	0.44827718318374	0.77701378418515
X.g__Mycena	Time_Point	Summer	0.0101795626081838	0.0132889078282492	48	37	0.447664355226671	0.77701378418515
X.f__Mortierellaceae	Time_Point	Summer	0.00304189868316923	0.00384168665052251	48	9	0.432623749769722	0.77701378418515
X.c__Agaricomycetes	Treatment	 	-0.0077583081399167	0.0107678454304838	48	36	0.474939197856208	0.785808490998454
X.g__Elaphomyces	Time_Point	Summer	0.00389754242372864	0.00534437237660351	48	5	0.469609574637558	0.785808490998454
X.g__Mucronella	Treatment	 	-0.00246485513315234	0.00340626751408235	48	6	0.473041955372738	0.785808490998454
X.g__Cladosporium	Treatment	 	0.00140507811750575	0.00192547402284878	48	5	0.469336332119197	0.785808490998454
X.g__Lophium	Time_Point	Summer	0.0023036275785313	0.00308020149819664	48	8	0.458422029063036	0.785808490998454
X.g__Talaromyces	Time_Point	Summer	-0.00230662080695088	0.00339541711665615	48	9	0.50040606684396	0.813159858621436
X.g__Hyaloscypha	Time_Point	Summer	0.00325510684383913	0.00478962564074989	48	13	0.500228774375721	0.813159858621436
X.g__Piloderma	Time_Point	Summer	0.0600344393955216	0.0948543397644262	48	43	0.529994527184781	0.820649677000038
X.g__Amanita	Treatment	 	-0.0366420645956402	0.0641252408603527	48	35	0.57056215957617	0.820649677000038
X.g__Lactifluus	Time_Point	Summer	-0.0406526278708463	0.0709800793569429	48	13	0.569676347740766	0.820649677000038
X.g__Sistotrema	Time_Point	Summer	-0.0425250990752547	0.0793372633794053	48	26	0.594595420712476	0.820649677000038
X.f__Hyaloscyphaceae	Treatment	 	-0.014854922900422	0.0233075343133342	48	35	0.527130217567978	0.820649677000038
X.g__Lactarius	Time_Point	Summer	0.0287884099858288	0.0547800235719418	48	29	0.601796678823723	0.820649677000038
X.g__Cenococcum	Time_Point	Summer	-0.0194265544988088	0.0367047091327089	48	35	0.599222309116281	0.820649677000038
X.f__Clavulinaceae	Time_Point	Summer	0.0277384041331752	0.0451965066979193	48	18	0.542484641280524	0.820649677000038
X.g__Imleria	Treatment	 	-0.00616632809022287	0.011945155152743	48	13	0.608228256716347	0.820649677000038
X.p__Ascomycota	Treatment	 	0.00619445108247578	0.0113106722162218	48	32	0.586628794038439	0.820649677000038
X.g__Hebeloma	Time_Point	Summer	0.0103370405637208	0.0190182887750042	48	22	0.589446539733047	0.820649677000038
X.g__Tylopilus	Time_Point	Summer	0.00588862748232123	0.0108825577777913	48	11	0.591102705354537	0.820649677000038
X.g__Umbelopsis	Time_Point	Summer	0.00310741866167903	0.00468546317195819	48	9	0.510583059449833	0.820649677000038
X.g__Lecanicillium	Time_Point	Summer	0.00512465767933817	0.00964501949823962	48	34	0.59780539539331	0.820649677000038
X.p__Basidiomycota	Treatment	 	-0.0079285110164116	0.0124700927849612	48	31	0.528125876220095	0.820649677000038
